@relation 'estacao'

@attribute umidade real
@attribute velocidade_vento real
@attribute chuva real
@attribute radicao_solar real
@attribute et real
@attribute classe {Frio,Normal,Quente}
 
@data
91,0.9,0.00,0,0.00,Frio
94,0.9,0.00,0,0.00,Frio
96,0.0,0.00,0,0.00,Frio
95,0.9,0.00,0,0.00,Frio
93,1.3,0.00,0,0.00,Frio
93,0.9,0.00,0,0.00,Frio
94,0.4,0.00,0,0.00,Frio
93,0.9,0.00,0,0.00,Frio
89,1.3,0.00,0,0.00,Frio
84,0.9,0.00,0,0.03,Frio
87,0.9,0.00,4,0.00,Frio
83,1.8,0.00,113,0.05,Frio
72,2.2,0.00,344,0.18,Frio
62,0.9,0.00,502,0.28,Normal
55,0.9,0.00,623,0.38,Normal
51,0.9,0.00,685,0.43,Normal
44,1.8,0.00,692,0.46,Normal
42,1.8,0.00,660,0.46,Normal
39,2.7,0.00,531,0.41,Normal
40,2.7,0.00,353,0.30,Normal
44,2.7,0.00,150,0.18,Normal
58,0.4,0.00,11,0.03,Normal
72,0.4,0.00,0,0.03,Frio
81,0.9,0.00,0,0.03,Frio
80,0.0,0.00,0,0.03,Frio
82,0.0,0.00,0,0.03,Frio
85,0.0,0.00,0,0.00,Frio
86,0.0,0.00,0,0.00,Frio
84,0.0,0.00,0,0.00,Frio
86,0.0,0.00,0,0.00,Frio
89,0.0,0.00,0,0.00,Frio
83,0.0,0.00,0,0.00,Frio
85,0.0,0.00,0,0.00,Frio
88,0.0,0.00,0,0.00,Frio
92,0.0,0.00,4,0.00,Frio
78,0.0,0.00,130,0.08,Frio
63,1.3,0.00,340,0.20,Normal
56,1.8,0.00,505,0.33,Normal
53,2.2,0.00,623,0.43,Normal
47,2.2,0.00,691,0.48,Normal
51,1.8,0.00,645,0.41,Normal
51,2.2,0.00,588,0.41,Normal
44,2.2,0.00,498,0.36,Normal
46,1.8,0.00,347,0.28,Normal
52,0.9,0.00,145,0.13,Normal
63,0.0,0.00,11,0.03,Normal
72,0.9,0.00,0,0.03,Normal
80,0.0,0.00,0,0.03,Normal
79,0.0,0.00,0,0.03,Frio
87,0.0,0.00,0,0.03,Frio
89,0.0,0.00,0,0.00,Frio
92,0.0,0.00,0,0.00,Frio
86,0.0,0.00,0,0.00,Frio
93,0.0,0.00,0,0.00,Frio
90,0.0,0.00,0,0.00,Frio
92,0.0,0.00,0,0.00,Frio
92,0.0,0.00,0,0.00,Frio
93,0.0,0.00,0,0.00,Frio
95,0.0,0.00,5,0.00,Frio
89,0.0,0.00,103,0.05,Frio
81,1.3,0.00,307,0.18,Frio
70,1.8,0.00,502,0.30,Normal
61,2.2,0.00,626,0.41,Normal
56,1.8,0.00,688,0.46,Normal
51,1.8,0.00,695,0.46,Normal
48,1.8,0.00,635,0.41,Normal
52,1.3,0.00,478,0.33,Quente
56,0.4,0.00,142,0.13,Normal
63,0.0,0.00,50,0.05,Normal
72,0.9,0.00,16,0.03,Normal
77,0.9,0.00,0,0.03,Normal
79,0.9,0.00,0,0.03,Frio
76,0.0,0.00,0,0.03,Frio
80,0.4,0.00,0,0.03,Frio
76,0.9,0.00,0,0.03,Frio
84,1.3,0.00,0,0.03,Frio
87,0.9,0.00,0,0.03,Frio
87,0.9,0.00,0,0.03,Frio
88,1.3,0.00,0,0.03,Frio
88,0.9,0.00,0,0.03,Frio
89,1.3,0.00,0,0.00,Frio
92,0.9,0.00,0,0.00,Frio
95,0.9,0.00,4,0.00,Frio
87,1.3,0.00,129,0.08,Frio
81,1.8,0.00,343,0.20,Normal
74,1.3,0.00,501,0.30,Normal
71,1.8,0.00,626,0.38,Normal
59,1.8,0.00,644,0.38,Normal
56,1.8,0.00,648,0.43,Quente
52,1.8,0.00,296,0.25,Quente
47,2.2,0.00,544,0.41,Quente
46,1.8,0.00,359,0.30,Quente
49,1.3,0.00,149,0.15,Quente
74,0.4,0.00,11,0.03,Normal
79,0.9,0.00,0,0.03,Normal
83,0.9,0.00,0,0.03,Normal
84,0.4,0.00,0,0.03,Normal
86,0.4,0.00,0,0.03,Frio
87,0.0,0.00,0,0.00,Frio
