@relation patrocinio-weka.filters.unsupervised.attribute.Remove-R1

@attribute umid_inst numeric
@attribute pressao numeric
@attribute vento_direcao numeric
@attribute vento_vel numeric
@attribute radiacao numeric
@attribute classe {Frio,Normal,Quente}

@data
72,904.5,2.7,18,857,Normal
83,904.8,0.2,143,98,Normal
87,905.3,0.5,345,-3,Normal
89,906.2,0.3,174,-3,Normal
93,906.7,0.1,147,-3,Normal
94,906.7,0.3,174,-3,Normal
94,906.6,0.1,154,-3,Normal
96,906.5,1,263,-4,Normal
97,905.9,0.5,132,-4,Normal
97,905.6,0.1,30,-3,Normal
98,905.2,0.1,183,-3,Normal
97,905.1,0.1,17,-2,Normal
98,905.3,0,49,-2,Normal
97,905.7,0.1,132,-2,Normal
97,906.3,0,108,43,Normal
97,906.9,0.5,151,284,Normal
86,907.5,1.3,63,826,Normal
81,908,2.1,35,730,Normal
77,907.9,1.3,49,1098,Normal
79,907.5,3.2,36,1138,Normal
78,906.5,5,35,1573,Normal
71,905.6,3.6,12,2344,Normal
71,904.6,1.2,51,1519,Quente
66,904.5,0.8,35,1138,Quente
69,904.6,0.4,145,579,Normal
81,905.3,1.6,7,90,Normal
83,905.4,0.2,66,-3,Normal
91,905.9,0.2,83,-3,Normal
91,906.5,0,122,-3,Normal
95,906.9,0.1,165,-3,Normal
96,907,0.2,137,-2,Normal
95,907,0.2,107,-3,Normal
96,906.6,0.1,123,-3,Normal
96,906.2,1,133,-3,Normal
97,905.8,1.8,140,-4,Normal
97,905.8,1.2,126,-3,Normal
95,905.9,2.1,125,-3,Normal
95,906.4,1.7,135,-4,Normal
96,907.1,1.1,140,27,Normal
91,907.2,1.5,109,266,Normal
84,907.7,1.7,97,724,Normal
77,907.6,2.8,78,1493,Normal
67,906.9,2.3,70,2475,Quente
64,906.2,2.7,42,2726,Quente
58,905.5,3.9,26,3213,Quente
67,904.4,1.7,137,1521,Quente
78,903.8,2.7,262,660,Normal
87,903.7,1.3,295,398,Normal
93,904.1,0,236,188,Normal
92,904.3,0.1,191,68,Normal
94,904.7,0.9,214,-2,Normal
92,905.2,0.5,193,-3,Normal
94,905.9,0.1,164,-3,Normal
95,906.2,0.5,171,-3,Normal
96,906.8,1.6,221,-2,Normal
97,906.9,3.1,196,-1,Normal
98,906.9,2.3,156,0,Frio
98,906.7,2.2,140,-1,Frio
98,906.1,1,112,-1,Frio
98,905.5,1.6,123,-2,Frio
97,905.3,1,150,-3,Frio
97,905.9,1.2,250,-2,Frio
98,906.6,0.2,277,32,Frio
97,907,0.5,82,317,Normal
92,907.7,0.3,11,883,Normal
88,908.2,1.3,26,994,Normal
78,907.7,1.7,46,1736,Normal
79,907.1,1.7,360,1260,Normal
74,906.3,1.7,266,2410,Normal
73,905.7,0.9,20,1256,Normal
95,905.2,0.2,295,468,Normal
75,905.1,2.1,355,1494,Normal
82,905.3,0.8,289,659,Normal
93,905.7,0,35,106,Normal
94,905.8,0.3,206,-3,Normal
97,906.4,0,164,-3,Normal
97,906.7,0.5,126,-3,Normal
