@relation inmet_araxa-weka.filters.unsupervised.attribute.Remove-R1

@attribute umid_inst numeric
@attribute pressao numeric
@attribute vento_direcao numeric
@attribute vento_vel numeric
@attribute radiacao numeric
@attribute classe {Frio,Normal,Quente}

@data
69,903.8,4.3,68,1978,Normal
64,903.2,3.4,56,2130,Normal
60,902.1,1.5,38,3215,Quente
59,901.2,2,73,2244,Quente
61,900.3,1.7,44,895.6,Quente
61,899.6,3.1,117,1425,Quente
68,899.7,3.4,56,601.5,Normal
73,899.8,1.7,38,132.9,Normal
80,900.6,1.4,311,1.016,Normal
84,901,1.1,199,-3.54,Normal
84,901.3,0.9,192,-3.54,Normal
85,901.5,0.2,154,-3.54,Normal
87,901.7,0.7,182,-3.54,Normal
87,901.5,0.1,123,-3.54,Normal
85,901.3,0.3,56,-3.54,Normal
86,901.4,3.1,89,-3.47,Normal
88,901.3,3,100,-3.53,Normal
87,900.9,3,103,-3.54,Normal
87,900.9,3.2,99,-3.54,Normal
88,901.4,3.6,94,-3.54,Normal
87,902,2.7,103,50.59,Normal
81,902.7,4.2,96,699.1,Normal
75,903.2,3.7,86,966.4,Normal
68,903.6,4.5,75,1538,Normal
66,903.4,3.4,76,2794,Normal
59,902.6,3.6,74,2845,Quente
54,901.7,3.1,63,2668,Quente
50,900.7,3.8,47,2421,Quente
50,899.7,3.3,50,2120,Quente
51,898.9,4,45,1446,Quente
56,899,3.3,86,700.7,Quente
58,899.6,1.5,94,220,Normal
65,899.8,1.8,95,0.689,Normal
68,900.3,2.4,96,-3.54,Normal
71,900.8,2.8,100,-3.54,Normal
75,901.2,2.8,105,-3.54,Normal
77,901.1,2.8,103,-3.54,Normal
78,901.5,2.6,104,-3.54,Normal
76,901.1,2.6,90,-3.54,Normal
76,900.6,2.5,100,-3.54,Normal
78,900.2,3.3,93,-3.53,Normal
80,900.1,3.7,92,-3.53,Normal
82,900.5,3.5,96,-3.51,Normal
83,901.4,3.2,89,-3.52,Normal
82,902.1,3.3,70,27.15,Normal
81,903.2,2.5,26,300.6,Normal
79,904.1,3.5,23,581.3,Normal
79,904.3,2.9,29,806.3,Normal
80,904.2,1.9,27,319.2,Normal
87,903.7,3.1,34,337.2,Normal
91,903.2,2.3,16,439.6,Normal
90,902.6,1.4,4,760.2,Normal
82,902.1,1.5,345,1395,Normal
78,901.6,0.7,342,887.9,Normal
74,900.9,0.3,344,1038,Normal
78,901.1,1.6,71,453.5,Normal
81,901.7,1.5,88,3.911,Normal
85,902.7,2.3,97,-3.54,Normal
86,903.5,2.2,93,-3.53,Normal
85,904.1,2.5,95,-3.49,Normal
86,904.4,1.6,96,-3.22,Normal
87,904.4,2.5,107,-2.86,Normal
89,903.9,2.4,94,-2.56,Normal
91,903.5,2.7,85,-3.24,Normal
91,903.2,3.2,90,-2.45,Normal
91,903.1,2.4,84,-2.8,Normal
92,903,1.3,63,-3.22,Normal
92,903.1,0.1,107,-3.51,Normal
90,903.7,0,193,100.9,Normal
87,904.3,1.2,359,665.4,Normal
80,904.7,1.1,16,902.1,Normal
75,904.8,0.9,250,1403,Normal
66,904.3,1.6,74,2624,Quente
59,903.5,2.2,338,3009,Quente
62,902.9,2,318,2287,Quente
60,901.9,3.3,316,2964,Quente
53,901.1,2.4,312,3208,Quente
59,900.8,2.6,289,1322,Quente
92,901.4,3,191,144.4,Normal
83,901.7,2,91,193.2,Normal
83,902.3,2.9,115,6.109,Normal
84,902.8,2.9,114,-3.06,Normal
81,903.5,1.7,98,-3.17,Normal
85,903.9,2.4,80,-3.52,Normal
89,903.7,0.6,135,-3.54,Normal
88,904,1.3,120,-3.54,Normal
89,903.8,0.6,81,-3.54,Normal
90,903.5,1.7,56,-3.5,Normal
89,903.1,2.3,73,-3.49,Normal
90,903.1,0.8,131,-3.32,Normal
90,903.1,0.5,93,-2.98,Normal
90,903.6,0.9,92,-3.19,Normal
90,904.1,1,85,25.38,Normal
86,904.6,0.1,122,334.3,Normal
72,904.6,0.2,195,1434,Normal
71,904.5,0.8,29,2651,Normal
60,904.2,1.3,297,2951,Quente
58,903.5,1.5,257,3076,Quente
50,902.7,1.1,321,3587,Quente
49,901.8,2.2,261,2572,Quente
63,901.2,3.1,159,1775,Quente
76,901.1,2.8,198,167.7,Normal
71,901.2,2.1,197,378.3,Normal
72,901.4,1.6,171,229.6,Normal
72,902.1,1.5,92,1.843,Normal
75,902.6,1.6,120,-3.49,Normal
81,902.7,2.8,77,-3.53,Normal
82,903,1.1,130,-3.37,Normal
80,903,1.6,105,-3.52,Normal
86,902.8,1.1,258,-3.54,Normal
89,902.4,1.2,201,-3.54,Normal
82,902.3,5.1,103,-3.54,Normal
86,902.1,4.3,93,-3.54,Normal
87,902,3.3,96,-3.54,Normal
89,901.9,2.5,100,-3.52,Normal
87,901.9,0.7,116,-3.54,Normal
83,902,1,102,62.08,Normal
76,902,2,88,761.9,Normal
68,902.4,2.3,65,1647,Normal
63,902.5,3.4,51,2385,Normal
61,902.3,2.5,44,2918,Quente
60,901.9,2.4,37,2668,Quente
52,901.2,2.4,41,2549,Quente
50,900.1,1.3,124,1687,Quente
50,899.4,2,242,2895,Quente
49,898.9,1.9,250,2327,Quente
65,899.6,4.7,101,536.5,Normal
74,899.8,2.9,68,145.3,Normal
80,900.4,2.2,115,12.9,Normal
88,900.9,0.4,319,-3.43,Normal
88,901.6,1.4,222,-3.54,Normal
89,901.7,0.7,218,-3.54,Normal
89,901.7,0,324,-3.53,Normal
90,901.5,0.1,228,-3.54,Normal
90,900.7,1,175,-3.54,Normal
85,900.2,2.2,116,-3.54,Normal
85,900.1,1.1,93,-3.54,Normal
84,899.8,0.5,111,-3.54,Normal
84,900.3,0.3,41,-3.54,Normal
85,900.6,2.4,110,-3.54,Normal
85,901,3.3,96,64.3,Normal
87,901.8,4.4,97,598.7,Normal
80,902.6,4,86,1301,Normal
71,902.7,3,68,2014,Normal
71,902.7,2.5,12,1928,Normal
59,902,2,338,2745,Quente
56,900.7,2.1,345,2817,Quente
55,899.7,1.5,34,1917,Quente
56,899.2,2.5,36,2329,Quente
77,900.3,4.7,174,1154,Normal
76,899.5,3.6,101,348.1,Normal
78,900,1.7,168,214.3,Normal
72,899.9,2.9,118,2.683,Normal
80,900.6,0.5,203,-3.05,Normal
83,901.5,2.3,12,-3.13,Normal
87,902,1.6,140,-3.28,Normal
88,902.1,0.4,314,-1.11,Normal
88,902.3,0,317,-3.39,Normal
87,902,1.7,76,-3.36,Normal
87,901.7,2,95,-2.63,Normal
87,901.8,3.7,110,-1.18,Normal
86,901.4,4.6,113,-0.64,Normal
88,901.9,3.1,76,-3.53,Normal
89,902.2,3.1,98,-3.54,Normal
88,902.7,3.6,88,53.36,Normal
83,903.4,3.4,84,657.6,Normal
75,904.4,3.4,77,1608,Normal
73,904.8,4.7,79,1562,Normal
67,904.6,4.1,74,1623,Normal
64,904.3,2.8,88,2855,Quente
59,903.6,3.2,104,2865,Quente
56,902.9,3.5,115,2679,Quente
55,902.4,4.1,99,2470,Quente
52,902.1,3.9,103,2059,Quente
54,902,3.4,107,1246,Quente
60,902,2.3,103,371.7,Quente
64,902.5,2.1,129,-1.13,Normal
69,903.4,2.7,113,-3.54,Normal
74,903.9,2.2,111,-3.54,Normal
76,904,3.2,112,-3.54,Normal
77,904,2.9,109,-3.54,Normal
76,904.2,3.1,101,-3.54,Normal
79,904.1,4,100,-3.54,Normal
81,903.5,3.5,99,-3.54,Normal
84,903.3,4.3,93,-3.54,Normal
86,903.5,3.8,102,-3.54,Normal
86,903.7,4.1,104,-3.54,Normal
85,904.5,4.1,101,-3.54,Normal
85,905.1,3.4,102,42.38,Normal
78,905.5,4.7,92,680.6,Normal
72,905.8,7,95,1644,Normal
65,906,7,65,2429,Normal
60,905.7,4.9,49,2758,Normal
60,905.4,4.7,88,2638,Quente
53,904.5,4.6,82,2476,Quente
54,903.8,4.4,94,2309,Quente
52,903.2,4.5,74,2802,Quente
56,902.9,3.4,98,1973,Quente
57,902.6,3.6,95,1001,Quente
61,902.7,3.2,99,380.1,Normal
69,903,3,102,1.123,Normal
71,903.5,3.2,113,-3.54,Normal
74,904,3.3,111,-3.54,Normal
75,904.3,3.7,113,-3.54,Normal
76,904.5,3.7,101,-3.54,Normal
78,904.7,3.6,95,-3.54,Normal
79,904.5,3.5,96,-3.54,Normal
80,904.1,3.4,89,-3.54,Normal
85,903.9,3.8,106,-3.54,Normal
86,903.9,3.4,94,-3.54,Normal
85,903.8,3.9,93,-3.54,Normal
86,904,3.8,95,-3.54,Normal
83,904.4,2.5,75,59.72,Normal
77,904.7,3.6,104,744.8,Normal
68,905.3,2.8,66,1641,Normal
61,905.5,3.3,77,2369,Normal
57,905.2,3.3,51,2747,Quente
51,904.5,2.3,57,3220,Quente
48,903.9,2.7,344,2875,Quente
45,902.9,2.1,50,3202,Quente
44,902.5,1.4,37,2505,Quente
45,902,0.9,254,2286,Quente
47,901.7,1.2,237,1359,Quente
50,901.6,0.2,230,374.5,Quente
57,901.7,0,30,-1.67,Quente
62,901.8,1.5,184,-3.54,Normal
64,902.6,2.2,103,-3.54,Normal
69,902.7,3,107,-3.54,Normal
70,902.9,1.9,81,-3.51,Normal
74,902.6,2.9,102,-3.54,Normal
76,902.6,1.9,101,-3.54,Normal
77,902.4,2.3,116,-3.54,Normal
76,902.3,2.2,105,-3.54,Normal
79,901.7,0.7,102,-3.54,Normal
79,901.8,0.8,119,-3.54,Normal
79,902.1,0.7,183,-3.54,Normal
79,902.7,0.4,44,65.45,Normal
65,903.3,2.8,105,779.4,Normal
58,903.9,2.3,71,1614,Normal
55,903.9,2.1,20,2353,Quente
51,903.4,2,76,2983,Quente
52,902.7,1.9,291,2374,Quente
43,901.9,1.8,302,2971,Quente
41,901.3,1.9,263,2868,Quente
40,900.7,1.3,70,2632,Quente
44,900.3,1.5,263,1257,Quente
42,900.2,1,297,986.2,Quente
55,900.3,1.1,280,340.3,Quente
70,900.6,2.4,266,-0.07,Normal
71,901,1.6,226,-3.54,Normal
69,901.3,1.3,190,-3.54,Normal
67,901.4,1.9,169,-3.54,Normal
65,901.4,1.5,149,-3.54,Normal
63,901.1,2.8,110,-3.54,Normal
62,900.9,2.2,109,-3.54,Normal
62,900.6,2.2,106,-3.54,Normal
66,900.4,0.8,117,-3.54,Normal
64,900.3,1.5,94,-3.54,Normal
67,900.5,1.6,119,-3.54,Normal
68,901,1.4,109,-3.54,Normal
65,901.3,1.5,107,55.29,Normal
59,901.7,1.2,75,716.1,Normal
57,902.2,1.7,4,1591,Normal
56,902.4,2.2,317,2325,Quente
53,902.2,2.4,293,2867,Quente
46,901.8,2.1,286,3305,Quente
46,901,1.7,235,3151,Quente
35,900.6,1.7,321,2704,Quente
39,900.1,1.8,244,2168,Quente
46,900,0.6,238,796.4,Quente
42,899.6,1.1,208,1151,Quente
49,899.9,1.1,217,319.1,Quente
48,900.1,1.5,173,-2.59,Quente
50,900.7,1.4,177,-3.54,Normal
57,901.2,0.3,66,-3.54,Normal
58,901.8,0,105,-3.54,Normal
60,901.9,0.2,135,-3.54,Normal
62,901.6,0.5,117,-3.54,Normal
66,901.1,1.1,121,-3.54,Normal
66,900.8,1.2,97,-3.54,Normal
72,900.8,1.1,119,-3.54,Normal
71,900.7,1.3,107,-3.54,Normal
71,901.1,0.7,131,-3.52,Normal
72,901.9,1.3,105,-3.52,Normal
78,902.5,0.4,18,59.72,Normal
79,902.9,1.1,215,632.1,Normal
62,902.9,0.7,221,1505,Normal
53,902.5,1.5,316,2238,Quente
46,902.3,1.3,300,2594,Quente
37,901.4,1.8,236,3118,Quente
40,900.7,1.7,266,3243,Quente
37,899.5,2.1,214,2942,Quente
39,898.4,1.7,235,2573,Quente
