@relation inmet_araxa-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R2

@attribute umid_inst numeric
@attribute vento_direcao numeric
@attribute vento_vel numeric
@attribute radiacao numeric
@attribute classe {Frio,Normal,Quente}

@data
82,4.8,109,-3.54,Normal
84,5.3,109,-3.25,Normal
84,5.1,102,-2.94,Normal
85,4.9,95,29.42,Normal
84,4.1,100,258.1,Normal
81,4.8,95,656.5,Normal
75,4.7,87,1424,Normal
71,4.9,74,2297,Normal
66,4,79,2474,Normal
62,2.7,60,2727,Quente
62,2.4,83,1165,Quente
60,3.2,86,1898,Quente
64,3.1,80,736.6,Quente
79,4.1,72,90.24,Normal
82,3.5,107,58.85,Normal
82,3.5,110,-1.29,Normal
83,3.8,118,-3.05,Normal
90,3,228,-3.18,Normal
94,2.7,182,-1.34,Normal
94,2.3,124,-0.37,Normal
94,3.1,144,-1.15,Frio
93,2.5,169,-0.84,Normal
93,1,127,-1.7,Normal
92,1,85,-3.19,Normal
91,2.8,97,-2.29,Normal
90,2.2,106,-1.99,Frio
90,2.4,90,-3.32,Frio
90,0.9,36,16.53,Frio
89,1.4,46,199.2,Frio
87,2.9,95,413.8,Normal
84,2.6,92,892,Normal
78,2.2,59,1407,Normal
75,2.2,49,1670,Normal
69,2.1,15,1733,Normal
66,1.5,311,1756,Normal
65,1.7,265,1904,Normal
66,1.3,300,1282,Normal
70,1.5,298,735.5,Normal
76,0.3,274,135.1,Normal
80,1.3,146,-3.29,Normal
80,2.6,109,-3.5,Normal
79,0.9,112,-2.95,Normal
82,1.1,107,-3.35,Normal
87,2.6,122,-3.54,Normal
85,1.3,85,-3.08,Normal
86,3.3,108,-3.52,Normal
87,3.2,99,-3.54,Normal
89,3.4,102,-3.54,Normal
88,2.9,98,-3.52,Normal
87,3.2,110,-3.51,Normal
88,2.4,93,-3.54,Normal
87,3.1,89,36.44,Normal
85,2.8,94,312,Normal
81,4.4,82,870.6,Normal
76,2.1,65,1410,Normal
69,0.9,36,1550,Normal
61,0.5,334,2103,Quente
57,0.6,160,2769,Quente
54,1.8,270,2346,Quente
53,2,179,1612,Quente
54,2.1,199,2184,Quente
45,0.5,149,872.5,Quente
74,2.9,60,261.7,Normal
79,1.8,143,-2.92,Normal
73,1.1,158,-3.54,Normal
76,1.5,110,-3.54,Normal
79,0.7,122,-3.54,Normal
79,0.7,191,-3.54,Normal
83,0.5,89,-3.54,Normal
82,2.3,112,-3.49,Normal
82,2.4,120,-3.54,Normal
84,0.6,63,-3.54,Normal
85,2.2,104,-3.54,Normal
85,2.6,92,-3.54,Normal
86,1.8,108,-3.54,Normal
86,1.9,115,25.29,Normal
79,3.2,99,685.7,Normal
75,3.1,90,1387,Normal
67,1.7,45,2161,Normal
60,2.5,46,2201,Quente
63,1.8,356,1733,Quente
54,1,329,2997,Quente
50,2.5,335,3065,Quente
78,7.7,341,1117,Frio
61,0.2,24,1330,Quente
62,0.6,259,1018,Quente
68,0,313,188,Normal
78,2.9,119,-3.25,Normal
76,2.1,112,-3.54,Normal
75,0.4,113,-3.54,Normal
74,1.2,130,-3.54,Normal
75,0.4,141,-3.54,Normal
77,1.3,116,-3.54,Normal
76,1.3,137,-3.54,Normal
76,1.2,94,-3.54,Normal
80,2.5,98,-3.54,Normal
82,0.8,179,-3.54,Normal
88,0.3,252,-3.54,Frio
84,0.8,110,-3.54,Normal
81,0.1,99,41.53,Normal
77,1.9,96,554.6,Normal
68,2.9,81,1411,Normal
63,2.1,43,2172,Quente
57,2.2,25,2837,Quente
55,2.4,308,2589,Quente
48,2.9,307,3145,Quente
48,3.1,320,2865,Quente
44,2.3,302,2490,Quente
49,3.9,311,1743,Quente
53,1.7,309,679.7,Quente
61,0.4,328,125.3,Quente
86,4.2,198,-2.33,Normal
83,2.9,182,-3.24,Normal
82,1.8,198,-2.1,Normal
86,0,25,-2.37,Normal
86,4.7,103,-0.67,Normal
86,3.5,103,-1.14,Normal
84,2.6,113,-2.19,Normal
84,2,230,-3.17,Normal
86,0,113,-3.21,Normal
86,0,2,-3.4,Normal
87,0,159,-3.52,Normal
89,0.9,44,-3.54,Normal
88,0.4,85,34.11,Normal
84,0,98,259.7,Normal
77,2.6,194,1109,Normal
60,2.4,79,2090,Normal
56,1.8,85,2458,Quente
48,1.6,70,3052,Quente
45,1.2,242,3140,Quente
47,1.4,324,2891,Quente
54,1.5,248,1443,Quente
64,1.9,13,789.4,Normal
62,0.7,235,756.8,Quente
62,0.9,238,274.6,Normal
68,1.3,177,-3.54,Normal
71,1.6,192,-3.54,Normal
78,1.5,191,-3.54,Normal
78,0.1,115,-3.54,Normal
80,1.5,131,-3.54,Normal
78,1.8,164,-3.54,Normal
78,1.4,137,-3.54,Normal
